lat,lon,localizacao,classe,confianca,justificativa,n_imagens,data_inicio,data_fim,plataformas,thumbnail_url,fonte_imagem,stac_browser_url,stac_id_repr,thumbnail_carregada,tags_osm
19.4,-155.3,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"A imagem mostra claramente uma cratera vulcânica circular com emissão de gases/vapor visível, localizada no Havaí (coordenadas 19.4, -155.3) que é conhecida região vulcânica ativa. O monitoramento SAR intensivo (442 imagens em 525 dias) com alta resolução (0.279m) é consistente com vigilância de atividade vulcânica para segurança pública.",442,2024-06-04,2025-11-12,"capella-14, capella-9, capella-10, capella-13","Esri Satellite tile (19.40,-155.30)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-01/capella-open-data-2025-01-04/CAPELLA_C13_SP_GEO_HH_20250104043955_20250104044006/CAPELLA_C13_SP_GEO_HH_20250104043955_20250104044006.json,CAPELLA_C13_SP_GEO_HH_20250104043955_20250104044006,True,"Base Militar: landuse=military; Agricultura / Desmatamento: landuse=farmland,landuse=orchard"
34.8,-118.1,"California, United States",Área de Mineração,Alta,As tags OSM confirmam presença de área de mineração (landuse=quarry) nas coordenadas de Los Angeles County. A imagem SAR mostra padrões típicos de mineração com áreas escavadas e texturas irregulares características de operações de extração. O monitoramento SAR de alta resolução (0.285m) por 1700 dias é consistente com acompanhamento de atividades de mineração.,238,2021-03-13,2025-11-08,"capella-3, capella-5, capella-7, capella-14, capella-13","Esri Satellite tile (34.80,-118.10)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-11/capella-open-data-2024-11-06/CAPELLA_C13_SP_GEO_HH_20241106140935_20241106140944/CAPELLA_C13_SP_GEO_HH_20241106140935_20241106140944.json,CAPELLA_C13_SP_GEO_HH_20241106140935_20241106140944,True,Área de Mineração: landuse=quarry; Base Militar: landuse=military; Agricultura / Desmatamento: landuse=farmland
-23.2,118.8,"Newman, Western Australia, Australia",Área de Mineração,Alta,"As tags OSM confirmam landuse=quarry e o endereço identifica explicitamente como 'West Angelas Mine'. A imagem satelital revela claramente uma operação de mineração a céu aberto com crateras extensas, pilhas de rejeito em tons avermelhados característicos do minério de ferro, e estradas de acesso radiais típicas de minas da região de Pilbara.",200,2021-07-01,2024-09-17,"capella-3, capella-9, capella-10, capella-14","Esri Satellite tile (-23.20,118.80)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2021/capella-open-data-2021-07/capella-open-data-2021-07-01/CAPELLA_C03_SP_GEO_HH_20210701014212_20210701014237/CAPELLA_C03_SP_GEO_HH_20210701014212_20210701014237.json,CAPELLA_C03_SP_GEO_HH_20210701014212_20210701014237,True,Área de Mineração: landuse=quarry
37.3,-121.9,"San Jose, California, United States",Base Militar,Alta,"As tags OSM confirmam presença militar (military=armory, landuse=military, military=office) na região. O monitoramento SAR intensivo com 176 imagens em 304 dias e alta resolução (0.27m) é consistente com vigilância de instalações militares sensíveis. A localização em San Jose, California, área conhecida por bases e instalações de defesa, reforça a classificação militar.",176,2025-01-10,2025-11-11,capella-13,"Esri Satellite tile (37.30,-121.90)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-01/capella-open-data-2025-01-10/CAPELLA_C13_SP_GEO_HH_20250110214529_20250110214532/CAPELLA_C13_SP_GEO_HH_20250110214529_20250110214532.json,CAPELLA_C13_SP_GEO_HH_20250110214529_20250110214532,True,"Área de Mineração: landuse=quarry; Base Militar: military=armory,landuse=military,military=office; Agricultura / Desmatamento: landuse=farmland,landuse=orchard,landuse=farmyard"
-21.8,122.2,"Western Australia, Australia",Área de Mineração,Alta,"As tags OSM confirmam landuse=quarry indicando área de mineração. A localização em Telfer, Western Australia, na região de Pilbara conhecida por mineração, combinada com o monitoramento SAR intensivo (124 imagens em 305 dias) e alta resolução (0.275m) são consistentes com operação de grande escala. A imagem mostra padrões de solo perturbado e estradas de acesso típicas de atividade de mineração.",124,2024-07-18,2025-05-19,"capella-14, capella-13","Esri Satellite tile (-21.80,122.20)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-11/capella-open-data-2024-11-23/CAPELLA_C13_SP_GEO_HH_20241123120750_20241123120759/CAPELLA_C13_SP_GEO_HH_20241123120750_20241123120759.json,CAPELLA_C13_SP_GEO_HH_20241123120750_20241123120759,True,Área de Mineração: landuse=quarry
39.5,-121.5,"California, United States",Agricultura / Desmatamento,Alta,"As tags OSM confirmam múltiplas atividades agrícolas (landuse=farmland, orchard, farmyard) na região. A imagem satelital revela claramente padrões geométricos de campos cultivados e áreas de manejo agrícola típicos do Vale Central da Califórnia. O monitoramento SAR intensivo (72 imagens em 86 dias) é consistente com acompanhamento de safras e mudanças no uso da terra agrícola.",72,2024-07-06,2024-10-01,"capella-14, capella-10, capella-9","Esri Satellite tile (39.50,-121.50)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-07/capella-open-data-2024-07-06/CAPELLA_C14_SP_GEO_HH_20240706182021_20240706182055/CAPELLA_C14_SP_GEO_HH_20240706182021_20240706182055.json,CAPELLA_C14_SP_GEO_HH_20240706182021_20240706182055,True,"Área Portuária: harbour=yes; Área de Mineração: landuse=quarry; Agricultura / Desmatamento: landuse=farmland,landuse=orchard,landuse=farmyard"
-12.7,132.9,Australia,Área de Mineração,Alta,"Tags OSM confirmam landuse=quarry indicando área de mineração. A imagem revela estruturas típicas de mineração a céu aberto com múltiplas cavas, pilhas de material e lagoas de contenção. O monitoramento SAR intensivo com alta resolução (0.329m) durante 247 dias é consistente com acompanhamento de operações de mineração.",40,2024-02-09,2024-10-13,"capella-9, capella-10","Esri Satellite tile (-12.70,132.90)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-02/capella-open-data-2024-02-09/CAPELLA_C09_SP_GEO_HH_20240209051832_20240209051906/CAPELLA_C09_SP_GEO_HH_20240209051832_20240209051906.json,CAPELLA_C09_SP_GEO_HH_20240209051832_20240209051906,True,Área de Mineração: landuse=quarry
-30.4,136.8,"South Australia, Australia",Área de Mineração,Alta,As tags OSM confirmam explicitamente landuse=quarry e industrial=mine na área. A imagem mostra características típicas de mineração com uma grande estrutura industrial retangular no canto inferior direito e terreno árido com padrões de escavação. O monitoramento SAR intensivo com alta resolução (0.343m) é consistente com acompanhamento de operações de mineração.,38,2024-02-23,2024-09-13,"capella-10, capella-9","Esri Satellite tile (-30.40,136.80)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-02/capella-open-data-2024-02-23/CAPELLA_C10_SP_GEO_HH_20240223154927_20240223154956/CAPELLA_C10_SP_GEO_HH_20240223154927_20240223154956.json,CAPELLA_C10_SP_GEO_HH_20240223154927_20240223154956,True,"Área de Mineração: landuse=quarry,industrial=mine; Base Militar: landuse=military"
-43.0,147.3,"Tasmania, Australia",Zona Urbana,Alta,"A imagem revela uma área urbana consolidada com malha viária bem definida, bairros residenciais organizados e proximidade com costa. O monitoramento SAR intensivo (0.4 dias) com alta resolução (0.27m) sugere acompanhamento de desenvolvimento urbano em Huntingfield, Tasmânia.",30,2025-03-06,2025-03-19,capella-13,"Esri Satellite tile (-43.00,147.30)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-03/capella-open-data-2025-03-06/CAPELLA_C13_SP_GEO_HH_20250306144636_20250306144707/CAPELLA_C13_SP_GEO_HH_20250306144636_20250306144707.json,CAPELLA_C13_SP_GEO_HH_20250306144636_20250306144707,True,
38.4,-0.4,"el Campello, Comunitat Valenciana, España",Zona Urbana,Alta,"A imagem mostra claramente uma área urbana costeira com malha urbana densa, sistema viário organizado e desenvolvimento residencial próximo à costa. Apesar das tags OSM indicarem presença de agricultura, mineração e estrutura militar na região, a análise visual revela predominantemente zona urbana consolidada. O monitoramento SAR intensivo (1.5 dias) com alta resolução (0.27m) sugere monitoramento de desenvolvimento urbano costeiro.",20,2025-05-08,2025-06-07,capella-13,"Esri Satellite tile (38.40,-0.40)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-05/capella-open-data-2025-05-08/CAPELLA_C13_SP_GEO_HH_20250508193043_20250508193052/CAPELLA_C13_SP_GEO_HH_20250508193043_20250508193052.json,CAPELLA_C13_SP_GEO_HH_20250508193043_20250508193052,True,"Área de Mineração: landuse=quarry; Base Militar: military=bunker; Agricultura / Desmatamento: landuse=farmland,landuse=orchard,landuse=farmyard"
